,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
284,kunya,83,NG,1561484421,29,12.22,8.53,94.75,0.78
285,lebedyn,1,UA,1561484421,75,50.58,34.48,64.87,5.99
286,portland,75,US,1561483973,72,45.52,-122.67,66.99,4.7
287,petrovac,20,RS,1561484422,51,43.03,21.82,82.4,8.05
288,te anau,1,NZ,1561484318,83,-45.41,167.72,37.51,4.0
289,gouyave,20,GD,1561484422,74,12.16,-61.73,84.2,23.04
290,black river,20,JM,1561484422,62,18.03,-77.85,89.6,17.22
291,ostrowiec swietokrzyski,32,PL,1561484423,1,50.93,21.39,86.0,7.29
292,shimoda,19,JP,1561484423,91,34.7,138.93,68.0,2.91
293,great yarmouth,20,GB,1561484227,88,52.61,1.73,73.99,8.05
294,tyukhtet,100,RU,1561484424,71,56.54,89.31,56.05,4.94
295,ketchikan,40,US,1561484424,77,55.34,-131.65,60.8,9.17
296,aquiraz,20,BR,1561484404,58,-3.9,-38.39,84.2,20.8
297,xining,89,CN,1561484424,95,36.62,101.77,50.83,3.24
298,rameswaram,100,IN,1561484425,70,9.28,79.3,86.47,18.68
299,tocopilla,6,CL,1561484425,85,-22.09,-70.2,59.47,14.05
300,newport,75,GB,1561484319,88,51.59,-3.0,69.01,9.17
301,tsaratanana,11,MG,1561484426,76,-16.8,47.65,66.13,1.88
302,cherskiy,2,RU,1561484426,36,68.75,161.3,65.41,3.56
303,ostrovnoy,88,RU,1561484426,69,68.05,39.51,47.05,3.89
304,zhangye,100,CN,1561484427,74,38.94,100.46,59.65,5.23
305,hamilton,75,CA,1561484196,68,43.26,-79.87,78.01,14.99
306,airai,2,TL,1561484427,75,-8.93,125.41,65.41,6.08
307,conde,36,BR,1561484428,90,-11.81,-37.61,75.13,4.76
308,kitgum,99,UG,1561484428,92,3.3,32.88,69.19,4.0
309,kuching,75,MY,1561484428,88,1.56,110.34,82.0,3.36
310,swift current,20,CA,1561484428,63,50.29,-107.8,62.6,12.75
311,vardo,20,US,1561484429,54,39.62,-77.74,86.0,11.41
312,port keats,29,AU,1561484429,27,-14.25,129.55,62.71,14.07
313,matam,1,SN,1561484429,6,15.66,-13.26,112.21,7.54
314,sao filipe,2,CV,1561484326,82,14.9,-24.5,74.95,19.84
315,maningrida,44,AU,1561484429,61,-12.05,134.23,54.61,8.34
316,teeli,95,RU,1561484430,58,51.01,90.2,43.81,5.03
317,danielskuil,27,ZA,1561484430,23,-28.19,23.54,51.37,9.91
318,luderitz,0,NA,1561484318,87,-26.65,15.16,55.4,12.75
319,muros,20,ES,1561484430,60,42.77,-9.06,71.6,8.05
320,dharmanagar,100,IN,1561484430,95,24.37,92.17,78.73,7.4
321,yulara,0,AU,1561484431,36,-25.24,130.99,44.6,5.82
322,beringovskiy,100,RU,1561484431,91,63.05,179.32,42.37,12.84
323,parana,75,BR,1561484431,62,-7.52,-72.89,89.6,6.93
324,stephenville,1,US,1561484431,54,32.22,-98.2,88.0,9.17
325,magnitka,15,RU,1561484432,97,55.34,59.7,49.39,2.91
326,coruripe,54,BR,1561484432,65,-10.12,-36.18,79.99,11.25
327,klaksvik,99,FO,1561484432,76,62.23,-6.59,53.6,12.75
328,oksfjord,75,NO,1561484432,50,70.24,22.35,55.4,12.75
329,mehamn,75,NO,1561484432,71,71.03,27.85,51.8,18.34
330,ughelli,100,NG,1561484433,96,5.49,6.0,73.87,3.6
331,tilichiki,81,RU,1561484433,94,60.47,166.1,47.41,0.36
